Fighter1,Fighter2,Weight Class,Winning Method,Round,Time,Win/Loss (Fighter1),Win Rate (Fighter 1),Total Fights (Fighter 1),Win (Fighter 1),Lose (Fighter 1),Draw (Fighter 1),SLpM (Fighter 1),Str. Acc. (Fighter 1),SApM (Fighter 1),Str. Def (Fighter 1),TD Avg. (Fighter 1),TD Acc. (Fighter 1),TD Def. (Fighter 1),Sub. Avg. (Fighter 1),Win Rate (Fighter 2),Total Fights (Fighter 2),Win (Fighter 2),Lose (Fighter 2),Draw (Fighter 2),SLpM (Fighter 2),Str. Acc. (Fighter 2),SApM (Fighter 2),Str. Def (Fighter 2),TD Avg. (Fighter 2),TD Acc. (Fighter 2),TD Def. (Fighter 2),Sub. Avg. (Fighter 2)
Ismail Naurdiev,Siyar Bahadurzada,Welterweight,U-DEC,3,5:00,Win,83%,23,19,4,0,3.17,52%,1.3,68%,1.25,71%,70%,0.2,73%,33,24,8,1,2.91,40%,3.23,49%,1.32,61%,62%,0.3
Giga Chikadze,Brandon Davis,Featherweight,S-DEC,3,5:00,Win,83%,18,15,3,0,4.08,43%,3.44,62%,0.23,33%,69%,0.2,58%,24,14,10,0,4.68,35%,4.62,58%,0.74,42%,57%,0.1
Lina Lansberg,Macy Chiasson,Women's Bantamweight,U-DEC,3,5:00,Win,56%,18,10,8,0,2.69,55%,3.87,44%,0.52,27%,47%,0.1,77%,13,10,3,0,3.53,44%,2.53,46%,2.38,37%,62%,0.5
Marc Diakiese,Lando Vannata,Lightweight,U-DEC,3,5:00,Win,71%,24,17,7,0,2.54,40%,2.64,52%,3.29,43%,66%,0,57%,21,12,7,2,4.52,45%,4.76,55%,1.09,37%,69%,0.3
Jack Shore,Nohelin Hernandez,Bantamweight,SUB Rear Naked Choke,3,2:51,Win,94%,18,17,1,0,3.84,58%,2.2,57%,3.42,40%,79%,0.7,69%,13,9,4,0,1.32,34%,2.63,52%,0.71,50%,37%,0
Yair Rodriguez,Jeremy Stephens,Featherweight,CNC,1,0:15,NC,76%,21,16,5,0,4.65,46%,3.99,52%,0.69,27%,58%,0.7,60%,47,28,19,0,3.17,40%,3.05,58%,1.16,38%,65%,0.4
Carla Esparza,Alexa Grasso,Women's Strawweight,M-DEC,3,5:00,Win,74%,27,20,7,0,2.16,40%,2.69,55%,3.22,35%,47%,0.3,80%,20,16,3,1,4.67,43%,3.95,58%,0.41,45%,59%,0.6
Brandon Moreno,Askar Askarov,Flyweight,S-DEC,3,5:00,Draw,68%,31,21,8,2,3.87,44%,3.63,59%,1.74,46%,63%,0.5,88%,16,14,1,1,3.05,54%,2.8,57%,2.6,24%,66%,0.4
Irene Aldana,Vanessa Melo,Women's Bantamweight,U-DEC,3,5:00,Win,68%,22,15,7,0,5.24,40%,6.33,57%,0.16,50%,76%,0.2,58%,19,11,8,0,3.48,30%,6.13,59%,0,0%,71%,0
Steven Peterson,Martin Bravo,Featherweight,KO/TKO Spinning Back Fist,2,1:31,Win,63%,30,19,11,0,4.76,40%,5.94,53%,1.42,26%,64%,0.7,79%,14,11,3,0,7.66,39%,5.72,51%,2.6,35%,85%,0
Jose Quinonez,Carlos Huachin,Bantamweight,U-DEC,3,5:00,Win,64%,14,9,5,0,3.6,45%,3,64%,2.7,47%,42%,0.6,63%,16,10,5,1,2.1,21%,4.8,50%,0,0%,66%,0
Kyle Nelson,Marco Polo Reyes,Featherweight,KO/TKO Punch,1,1:36,Win,73%,22,16,5,1,3.65,45%,4.69,52%,1.1,20%,73%,0.6,53%,15,8,7,0,6,37%,5.52,59%,0,0%,46%,0
Angela Hill,Ariane Carnelossi,Women's Strawweight,KO/TKO Elbow,3,1:56,Win,55%,29,16,13,0,5.44,50%,4.94,61%,0.73,34%,75%,0.1,82%,17,14,3,0,3.04,40%,4.72,43%,1.62,55%,8%,0.3
Sergio Pettis,Tyson Nam,Flyweight,U-DEC,3,5:00,Win,78%,23,18,5,0,3.88,37%,2.91,65%,0.85,40%,67%,0.4,58%,36,21,14,1,3.87,33%,4.97,65%,0,0%,87%,0
Paul Craig,Vinicius Moreira,Light Heavyweight,SUB Rear Naked Choke,1,3:19,Win,68%,25,17,7,1,2.42,46%,2.86,45%,1.76,22%,37%,1.6,64%,14,9,5,0,3.15,59%,5.07,43%,1.97,18%,0%,1.3
Bethe Correia,Sijara Eubanks,Women's Bantamweight,U-DEC,3,5:00,Win,61%,18,11,6,1,4.37,43%,4.93,56%,0.39,18%,85%,0,53%,15,8,7,0,4.3,43%,3.43,57%,1.9,44%,66%,0.3
Claudio Puelles,Marcos Mariano,Lightweight,U-DEC,3,5:00,Win,76%,17,13,4,0,1.56,49%,2.78,46%,3.17,36%,60%,1.2,50%,12,6,6,0,0.25,27%,2.11,43%,0,0%,28%,0
Justin Gaethje,Donald Cerrone,Lightweight,KO/TKO Punch,1,4:18,Win,83%,30,25,5,0,6.78,59%,7.46,52%,0.11,25%,75%,0,68%,53,36,17,0,4.41,46%,4.48,53%,1.16,33%,73%,1.2
Glover Teixeira,Nikita Krylov,Light Heavyweight,S-DEC,3,5:00,Win,79%,42,33,9,0,3.73,49%,4.43,51%,2.11,33%,60%,0.9,77%,39,30,9,0,4.38,55%,2.47,44%,2.29,38%,53%,1.4
Todd Duffee,Jeff Hughes,Heavyweight,CNC,1,4:03,NC,75%,12,9,3,0,5.93,37%,2.87,56%,0.72,25%,90%,0,71%,14,10,4,0,3.95,51%,3.67,60%,0.71,50%,45%,0
Tristan Connelly,Michel Pereira,Welterweight,U-DEC,3,5:00,Win,64%,22,14,8,0,3.31,51%,2.96,50%,0.33,14%,60%,0.3,73%,41,30,11,0,5.15,54%,3.71,58%,1.55,55%,94%,0.7
Uriah Hall,Antonio Carlos Junior,Middleweight,S-DEC,3,5:00,Win,62%,29,18,11,0,3.23,48%,3.85,54%,0.54,38%,64%,0.1,69%,16,11,5,0,1.95,42%,2.14,52%,3.42,39%,53%,0.8
Misha Cirkunov,Jimmy Crute,Light Heavyweight,SUB Peruvian Necktie,1,3:38,Win,63%,24,15,9,0,3.86,51%,3.06,57%,4.15,39%,76%,1.7,71%,17,12,4,1,3.68,54%,3.04,44%,4.84,57%,60%,2
Augusto Sakai,Marcin Tybura,Heavyweight,KO/TKO Punches,1,0:59,Win,73%,22,16,5,1,4.6,49%,3.83,48%,0.23,40%,56%,0,76%,33,25,8,0,3.6,48%,3.35,55%,1.43,33%,79%,0.1
Miles Johns,Cole Smith,Bantamweight,S-DEC,3,5:00,Win,88%,16,14,2,0,3.28,47%,2.55,68%,1.15,22%,85%,0,78%,9,7,2,0,1.78,35%,1.96,49%,1.67,33%,45%,1.7
Hunter Azure,Brad Katona,Bantamweight,U-DEC,3,5:00,Win,82%,11,9,2,0,3.92,53%,2.08,58%,1.97,34%,67%,1.3,83%,18,15,3,0,4.71,49%,4.98,48%,1.5,27%,52%,0
Chas Skelly,Jordan Griffin,Featherweight,U-DEC,3,5:00,Win,86%,22,19,3,0,2.01,40%,3.21,49%,1.74,34%,39%,2.3,67%,27,18,9,0,2.52,46%,3.02,50%,1.45,35%,42%,1.9
Louis Smolka,Ryan MacDonald,Bantamweight,KO/TKO Punch,1,4:43,Win,65%,26,17,9,0,4.67,47%,4.11,53%,1.69,35%,32%,1.8,83%,12,10,2,0,2.28,29%,6.49,45%,0,0%,0%,0
Austin Hubbard,Kyle Prepolec,Lightweight,U-DEC,3,5:00,Win,70%,23,16,7,0,3.83,46%,3.37,56%,1.55,52%,63%,0,63%,19,12,7,0,3.2,34%,4.7,54%,0,0%,40%,0
Khabib Nurmagomedov,Dustin Poirier,Lightweight,SUB Rear Naked Choke,3,2:06,Win,100%,29,29,0,0,4.1,48%,1.75,65%,5.32,48%,84%,0.8,79%,38,30,8,0,5.45,51%,4.36,53%,1.33,36%,63%,1.4
Paul Felder,Edson Barboza,Lightweight,S-DEC,3,5:00,Win,74%,23,17,6,0,3.7,44%,3.44,48%,0.29,28%,64%,0.2,69%,35,24,11,0,4.18,45%,4.34,57%,0.48,50%,75%,0.1
Islam Makhachev,Davi Ramos,Lightweight,U-DEC,3,5:00,Win,96%,26,25,1,0,2.46,60%,1.27,61%,3.17,60%,90%,1,71%,14,10,4,0,2.64,37%,3.44,56%,1.95,40%,83%,0.6
Curtis Blaydes,Shamil Abdurakhimov,Heavyweight,KO/TKO Elbow,2,2:22,Win,82%,22,18,4,0,3.53,50%,1.83,59%,5.72,53%,31%,0,71%,28,20,8,0,2.41,44%,3.02,55%,1.01,23%,45%,0.1
Diego Ferreira,Mairbek Taisumov,Lightweight,U-DEC,3,5:00,Win,78%,23,18,5,0,4.66,37%,3.42,56%,0.71,22%,63%,0.7,82%,33,27,6,0,2.98,39%,3.03,64%,1.34,63%,88%,0
Joanne Wood,Andrea Lee,Women's Flyweight,S-DEC,3,5:00,Win,68%,25,17,8,0,7.1,51%,4.89,51%,1.52,55%,58%,0.3,59%,22,13,9,0,4.69,46%,3.76,62%,1.85,58%,55%,0.6
Zubaira Tukhugov,Lerone Murphy,Featherweight,S-DEC,3,5:00,Draw,74%,27,20,6,1,3.17,39%,3.07,63%,2.13,39%,100%,0,93%,14,13,0,1,3.65,50%,2.4,56%,1.29,46%,46%,0.9
Sarah Moras,Liana Jojua,Women's Bantamweight,KO/TKO Elbows,3,2:26,Win,43%,14,6,8,0,2.28,34%,3.58,50%,0.67,21%,33%,0.8,62%,13,8,5,0,2.42,30%,5.32,54%,1.71,66%,50%,1.3
Ottman Azaitar,Teemu Packalen,Lightweight,KO/TKO Punch,1,3:33,Win,87%,15,13,2,0,5.73,51%,4.96,48%,0,0%,100%,0,73%,11,8,3,0,2.57,54%,3.91,47%,2.31,25%,100%,1.5
Belal Muhammad,Takashi Sato,Welterweight,SUB Rear Naked Choke,3,1:55,Win,88%,26,23,3,0,4.55,43%,3.64,57%,1.98,35%,93%,0.2,70%,23,16,7,0,2.21,41%,3.73,44%,0.76,37%,60%,0
Muslim Salikhov,Nordine Taleb,Welterweight,KO/TKO Punch,1,4:26,Win,79%,24,19,5,0,3.36,51%,2.94,62%,1.27,40%,73%,0,68%,22,15,7,0,3.66,51%,2.62,66%,1.94,76%,73%,0
Omari Akhmedov,Zak Cummings,Middleweight,U-DEC,3,5:00,Win,75%,28,21,6,1,2.97,34%,2.84,55%,2.58,45%,65%,0.2,78%,32,25,7,0,2.96,35%,2.91,55%,0.62,28%,66%,0.6
Don Madge,Fares Ziam,Lightweight,U-DEC,3,5:00,Win,69%,13,9,3,1,2.08,52%,0.74,67%,2.22,25%,80%,0.7,79%,19,15,4,0,2.7,48%,1.72,65%,0.81,23%,67%,0.2
Zhang Weili,Jessica Andrade,Women's Strawweight,KO/TKO Punch,1,0:42,Win,89%,28,25,3,0,5.66,53%,3.15,53%,2.51,46%,50%,0.5,68%,38,26,12,0,6.62,50%,5.37,55%,2.37,55%,72%,0.3
Li Jingliang,Elizeu Zaleski dos Santos,Welterweight,KO/TKO Punches,3,4:51,Win,70%,27,19,8,0,4.46,42%,3.84,57%,1.25,41%,60%,0,75%,32,24,7,1,4.52,42%,3.33,57%,0.43,13%,68%,0.4
Kai Kara-France,Mark De La Rosa,Flyweight,U-DEC,3,5:00,Win,69%,35,24,11,0,4.57,39%,3.24,65%,0.63,33%,88%,0,69%,16,11,5,0,3.13,35%,5,48%,0.54,13%,40%,0.2
Song Kenan,Derrick Krantz,Welterweight,U-DEC,3,5:00,Win,71%,28,20,8,0,4.36,46%,6.38,50%,0.34,50%,61%,0,65%,34,22,12,0,2.07,37%,4.03,50%,3.18,50%,0%,0.8
Mizuki,Wu Yanan,Women's Flyweight,S-DEC,3,5:00,Win,71%,21,15,6,0,4.56,50%,5.62,48%,0.33,14%,85%,0,68%,19,13,6,0,4.23,41%,4.95,49%,0.62,30%,63%,0.2
Anthony Hernandez,JunYong Park,Middleweight,SUB Anaconda Choke,2,4:39,Win,86%,14,12,2,0,4.3,59%,3.46,45%,6.62,49%,63%,3,74%,23,17,6,0,4.53,50%,3.3,53%,1.83,50%,57%,1.1
Sumudaerji,Andre Soukhamthath,Bantamweight,U-DEC,3,5:00,Win,73%,22,16,6,0,4.64,54%,2.73,61%,0.29,100%,66%,0.6,62%,21,13,8,0,2.77,44%,4.31,49%,1.25,53%,58%,0.2
Da Woon Jung,Khadis Ibragimov,Light Heavyweight,SUB Guillotine Choke,3,1:59,Win,71%,21,15,5,1,3.49,43%,3.89,51%,1.9,50%,77%,0.2,67%,12,8,4,0,3.55,49%,4.26,47%,0.97,30%,80%,0.3
Damir Ismagulov,Thiago Moises,Lightweight,U-DEC,3,5:00,Win,89%,27,24,3,0,3.36,42%,2.44,61%,1,28%,70%,0,72%,25,18,7,0,2.47,40%,4.19,55%,1.64,44%,56%,1.3
Alatengheili,Batgerel Danaa,Bantamweight,U-DEC,3,5:00,Win,59%,27,16,9,2,2.88,33%,5.03,58%,1.82,40%,72%,0,71%,17,12,5,0,5.38,36%,4.21,47%,0.52,50%,62%,0
Karol Rosa,Lara Procopio,Women's Bantamweight,S-DEC,3,5:00,Win,74%,23,17,6,0,6.34,56%,4.78,49%,1.22,45%,68%,0,78%,9,7,2,0,5.64,58%,6.5,47%,3.15,47%,50%,0.3
Stipe Miocic,Daniel Cormier,Heavyweight,KO/TKO Punches,4,4:09,Win,83%,24,20,4,0,4.82,53%,3.82,54%,1.86,34%,68%,0,88%,25,22,3,0,4.25,52%,2.92,54%,1.83,44%,80%,0.4
Nate Diaz,Anthony Pettis,Welterweight,U-DEC,3,5:00,Win,63%,35,22,13,0,4.57,45%,3.77,52%,1.05,30%,41%,1.3,71%,34,24,10,0,3.05,47%,3.44,54%,0.61,50%,60%,1.1
Paulo Costa,Yoel Romero,Middleweight,U-DEC,3,5:00,Win,82%,17,14,3,0,6.2,58%,6.38,47%,0.45,75%,80%,0,72%,18,13,5,0,3.44,49%,3.05,60%,1.57,30%,78%,0
Sodiq Yusuff,Gabriel Benitez,Featherweight,KO/TKO Punch,1,4:14,Win,76%,17,13,4,0,5.66,49%,4.51,53%,0.28,20%,62%,0.4,66%,35,23,12,0,4.92,41%,4.26,62%,0.24,50%,55%,1
Derek Brunson,Ian Heinisch,Middleweight,U-DEC,3,5:00,Win,72%,32,23,9,0,3.51,47%,3.05,51%,3.14,33%,85%,0.6,74%,19,14,5,0,3.25,50%,2.98,59%,1.02,17%,59%,0.7
Khama Worthy,Devonte Smith,Lightweight,KO/TKO Punch,1,4:15,Win,64%,25,16,9,0,4.18,48%,4.45,46%,0,0%,57%,0.7,73%,15,11,4,0,4.55,53%,3.91,49%,0.35,25%,85%,0.3
Cory Sandhagen,Raphael Assuncao,Bantamweight,U-DEC,3,5:00,Win,81%,21,17,4,0,5.33,44%,3.4,58%,1.36,33%,64%,0.3,74%,38,28,10,0,3.22,42%,2.5,66%,1.65,39%,78%,0.2
Drakkar Klose,Christos Giagos,Lightweight,U-DEC,3,5:00,Win,82%,17,14,2,1,4.33,55%,3.4,52%,1.78,30%,68%,0,63%,32,20,12,0,3.03,41%,3.21,50%,2.84,36%,52%,0.4
Casey Kenney,Manny Bermudez,Catch Weight,U-DEC,3,5:00,Win,76%,21,16,4,1,4.85,42%,4.67,58%,1.09,35%,61%,0.4,88%,16,14,2,0,2.92,61%,2.68,46%,3.06,54%,0%,3.1
Hannah Cifers,Jodie Esquibel,Women's Strawweight,U-DEC,3,5:00,Win,59%,17,10,7,0,4.99,44%,5.39,52%,0.26,100%,64%,0.3,50%,12,6,6,0,4.1,31%,7.37,52%,0.75,21%,83%,0
Kyung Ho Kang,Brandon Davis,Bantamweight,S-DEC,3,5:00,Win,66%,29,19,10,0,3.35,48%,3.33,55%,1.87,57%,68%,0.8,58%,24,14,10,0,4.68,35%,4.62,58%,0.74,42%,57%,0.1
Sabina Mazo,Shana Dobson,Women's Flyweight,U-DEC,3,5:00,Win,69%,13,9,4,0,6.1,43%,4.35,57%,0.65,80%,59%,0.2,44%,9,4,5,0,3.34,37%,5.2,50%,0.84,50%,14%,0
Valentina Shevchenko,Liz Carmouche,Women's Flyweight,U-DEC,5,5:00,Win,82%,28,23,4,1,3.28,52%,2.11,62%,2.56,63%,71%,0.4,65%,20,13,7,0,2.78,54%,2.51,61%,2.57,51%,65%,0.3
Vicente Luque,Mike Perry,Welterweight,S-DEC,3,5:00,Win,67%,33,22,10,1,5.07,52%,5.21,52%,1,53%,62%,0.6,64%,22,14,8,0,4.32,47%,5.16,52%,0.81,40%,78%,0.2
Eduardo Garagorri,Humberto Bandenay,Featherweight,U-DEC,3,5:00,Win,87%,15,13,2,0,3.42,51%,2.36,58%,0.48,100%,61%,0,67%,21,14,7,0,2.22,41%,4.79,41%,2.9,46%,62%,0.5
Volkan Oezdemir,Ilir Latifi,Light Heavyweight,KO/TKO Punch,2,4:31,Win,73%,26,19,7,0,4.59,47%,3.92,55%,0.57,33%,80%,0.1,65%,26,17,9,0,2.05,45%,2.93,56%,2.11,35%,100%,0.3
Rodolfo Vieira,Oskar Piechota,Middleweight,SUB Arm Triangle,2,4:26,Win,83%,12,10,2,0,3.19,54%,4.6,49%,4.18,30%,100%,1.6,79%,14,11,3,0,3.3,52%,3.93,51%,0.61,40%,38%,1.5
Enrique Barzola,Bobby Moffett,Featherweight,S-DEC,3,5:00,Win,71%,24,17,5,2,3.91,41%,2.97,68%,4.2,45%,66%,0.3,72%,18,13,5,0,3.41,39%,3.15,61%,2.74,66%,66%,1.4
Gilbert Burns,Aleksei Kunchenko,Welterweight,U-DEC,3,5:00,Win,76%,29,22,7,0,3.29,48%,3.42,54%,2.24,38%,50%,0.5,91%,22,20,2,0,3.67,44%,2.83,63%,0.25,33%,80%,0
Ciryl Gane,Raphael Pessoa,Heavyweight,SUB Arm Triangle,1,4:12,Win,86%,14,12,2,0,5.49,60%,2.19,63%,0.58,21%,50%,0.5,83%,12,10,2,0,2.16,26%,3.43,42%,0,0%,100%,0
Marina Rodriguez,Tecia Pennington,Women's Strawweight,U-DEC,3,5:00,Win,74%,23,17,4,2,4.82,47%,3.12,55%,0.23,42%,65%,0.2,68%,19,13,6,0,4.74,48%,3.59,61%,0.66,14%,61%,0.1
Rogerio Bontorin,Raulian Paiva,Flyweight,KO/TKO,1,2:56,Win,80%,20,16,4,0,2.63,52%,3.27,50%,2.9,60%,51%,1,81%,26,21,5,0,4.14,42%,5.01,48%,0.65,23%,77%,0.2
Chris Gutierrez,Geraldo de Freitas,Bantamweight,S-DEC,3,5:00,Win,71%,28,20,6,2,4.8,58%,2.79,63%,0.28,30%,69%,0.1,67%,18,12,6,0,3.67,52%,2.62,50%,3,45%,59%,0
Alex Da Silva,Kazula Vargas,Lightweight,U-DEC,3,5:00,Win,84%,25,21,4,0,2.14,46%,2.52,56%,1.97,43%,76%,0.3,71%,17,12,5,0,3.65,53%,1.77,57%,0.4,25%,30%,0.4
Veronica Hardy,Polyana Viana,Women's Flyweight,SUB Armbar,1,1:09,Win,62%,13,8,4,1,3.27,45%,4.1,46%,1.27,41%,57%,0.4,65%,20,13,7,0,2.99,40%,2.65,53%,0.82,33%,38%,1.9
Colby Covington,Robbie Lawler,Welterweight,U-DEC,5,5:00,Win,81%,21,17,4,0,3.88,38%,2.98,55%,3.79,44%,67%,0.2,65%,46,30,16,0,3.85,47%,4.67,59%,0.65,64%,65%,0
Jim Miller,Clay Guida,Lightweight,SUB Guillotine Choke,1,0:58,Win,67%,55,37,18,0,2.99,42%,3.5,56%,1.53,44%,47%,1.7,64%,59,38,21,0,2.64,33%,3.01,61%,3.13,36%,67%,0.6
Nasrat Haqparast,Joaquim Silva,Lightweight,KO/TKO Punch,2,0:36,Win,76%,21,16,5,0,5.78,44%,5.25,64%,0.31,20%,78%,0,72%,18,13,5,0,3.61,41%,4.51,54%,0.45,60%,64%,0.7
Gerald Meerschaert,Trevin Giles,Middleweight,SUB Guillotine Choke,3,1:49,Win,68%,53,36,17,0,3.18,45%,3.37,53%,2.17,38%,34%,1.6,73%,22,16,6,0,3.27,55%,2.22,58%,1.19,50%,71%,0.3
Scott Holtzman,Dong Hyun Ma,Lightweight,KO/TKO,2,5:00,Win,70%,20,14,6,0,4.32,47%,3.66,55%,1.88,56%,67%,0.2,53%,30,16,11,3,2.84,41%,4.1,54%,1.27,53%,33%,0
Kennedy Nzechukwu,Darko Stosic,Light Heavyweight,U-DEC,3,5:00,Win,71%,17,12,5,0,5.13,45%,4.9,50%,0.6,45%,80%,0.2,76%,17,13,4,0,2.61,45%,4.04,58%,3.42,50%,83%,0
Mickey Gall,Salim Touahri,Welterweight,U-DEC,3,5:00,Win,58%,12,7,5,0,2.94,46%,4.25,49%,1.21,30%,36%,1.9,71%,14,10,4,0,2.6,46%,2.87,58%,0,0%,83%,0
Antonina Shevchenko,Lucie Pudilova,Women's Flyweight,SUB Rear Naked Choke,2,1:20,Win,71%,14,10,4,0,3.86,55%,2.93,52%,0.43,42%,53%,0.4,61%,23,14,9,0,3.68,37%,3.83,51%,0.55,27%,66%,0.7
Matt Schnell,Jordan Espinosa,Flyweight,SUB Triangle Choke,1,1:23,Win,67%,24,16,8,0,4.23,38%,4.56,55%,0.59,44%,50%,1,63%,24,15,9,0,4.22,52%,2.94,57%,0.75,28%,70%,0.2
Lauren Murphy,Mara Romero Borella,Women's Flyweight,KO/TKO Knee,3,1:46,Win,73%,22,16,6,0,4.05,39%,5.25,55%,1.03,25%,69%,0.1,57%,21,12,9,0,2.54,37%,2.48,71%,1.83,44%,66%,0.2
Claudio Silva,Cole Williams,Welterweight,SUB Neck Crank,1,2:35,Win,78%,18,14,4,0,2.48,42%,3,46%,2.85,26%,44%,1.1,79%,14,11,3,0,0.31,27%,5.34,23%,0,0%,25%,0
Miranda Granger,Hannah Goldy,Women's Flyweight,U-DEC,3,5:00,Win,70%,10,7,3,0,2.79,47%,2.57,57%,0,0%,33%,0,60%,10,6,4,0,5.19,47%,4.67,50%,0.66,12%,54%,0.2
Max Holloway,Frankie Edgar,Featherweight,U-DEC,5,5:00,Win,79%,33,26,7,0,7.17,48%,4.72,59%,0.25,53%,84%,0.3,66%,35,23,11,1,3.77,40%,2.82,65%,2.29,31%,65%,0.3
Cristiane Justino,Felicia Spencer,Women's Featherweight,U-DEC,3,5:00,Win,91%,23,21,2,0,7.28,52%,2.25,64%,0.66,55%,94%,0.4,75%,12,9,3,0,3.21,48%,4.54,45%,1.18,18%,27%,0.2
Geoff Neal,Niko Price,Welterweight,KO/TKO Punches,2,2:39,Win,71%,21,15,6,0,4.97,50%,5.47,57%,0.46,44%,87%,0.1,68%,22,15,7,0,5.46,42%,5.6,48%,0.7,20%,64%,0.7
Arman Tsarukyan,Olivier Aubin-Mercier,Lightweight,U-DEC,3,5:00,Win,88%,25,22,3,0,3.79,48%,1.84,53%,3.25,37%,75%,0,69%,16,11,5,0,2.48,51%,2.97,55%,2.36,33%,70%,0.5
Krzysztof Jotko,Marc-Andre Barriault,Middleweight,S-DEC,3,5:00,Win,80%,30,24,6,0,2.98,42%,2.23,57%,1.33,39%,82%,0.1,70%,23,16,7,0,6.19,47%,5.67,52%,0.22,25%,67%,0.1
Viviane Araujo,Alexis Davis,Women's Flyweight,U-DEC,3,5:00,Win,67%,18,12,6,0,4.11,47%,4.96,56%,1.76,40%,78%,0.6,66%,32,21,11,0,4.63,49%,4.45,54%,0.95,44%,34%,0.7
Hakeem Dawodu,Yoshinori Horie,Featherweight,KO/TKO Kick,3,4:09,Win,72%,18,13,4,1,5.45,50%,3.37,56%,0,0%,65%,0,80%,10,8,2,0,2.76,49%,5.65,48%,0,0%,0%,0
Gavin Tucker,SeungWoo Choi,Featherweight,SUB Rear Naked Choke,3,3:17,Win,81%,16,13,3,0,4.29,44%,4.18,57%,3.13,44%,53%,1.5,65%,17,11,6,0,3.48,38%,3.02,47%,0.87,54%,69%,0
Deiveson Figueiredo,Alexandre Pantoja,Flyweight,U-DEC,3,5:00,Win,85%,27,23,3,1,3.01,55%,3.38,50%,1.65,42%,58%,1.7,84%,32,27,5,0,4.32,49%,3.9,50%,2.2,48%,67%,1
Gillian Robertson,Sarah Frota,Women's Flyweight,KO/TKO Elbows,2,4:13,Win,62%,21,13,8,0,2.61,46%,3.12,56%,2.53,43%,43%,1,82%,11,9,2,0,4.52,52%,2.57,55%,0,0%,53%,0
Erik Koch,Kyle Stewart,Welterweight,U-DEC,3,5:00,Win,73%,22,16,6,0,2.33,42%,2.82,47%,1.02,42%,81%,1,79%,14,11,3,0,1.41,35%,2.42,43%,1.32,20%,60%,0
Leon Edwards,Rafael Dos Anjos,Welterweight,U-DEC,5,5:00,Win,88%,25,22,3,0,2.75,53%,2.34,54%,1.25,34%,70%,0.4,67%,48,32,16,0,3.48,47%,3.21,60%,1.95,35%,55%,0.6
Walt Harris,Aleksei Oleinik,Heavyweight,KO/TKO Punch,1,0:12,Win,57%,23,13,10,0,3.05,39%,3.33,54%,0.29,28%,70%,0.1,77%,78,60,17,1,3.29,48%,3.8,44%,1.82,46%,37%,1.9
Greg Hardy,Juan Adams,Heavyweight,KO/TKO Punches,1,0:45,Win,58%,12,7,5,0,4.79,50%,3.31,55%,0.2,33%,64%,0,63%,8,5,3,0,7.09,55%,4.06,34%,0.91,66%,57%,0
Dan Hooker,James Vick,Lightweight,KO/TKO Punch,1,2:33,Win,66%,35,23,12,0,5.08,48%,4.76,51%,0.79,34%,80%,0.4,72%,18,13,5,0,4.13,39%,3.31,60%,0.26,33%,57%,0.7
Alexander Hernandez,Francisco Trinaldo,Lightweight,U-DEC,3,5:00,Win,64%,22,14,8,0,4.33,41%,4.66,55%,1.06,31%,59%,0.1,76%,37,28,9,0,3.13,45%,2.67,60%,0.98,42%,60%,0.5
Andrei Arlovski,Ben Rothwell,Heavyweight,U-DEC,3,5:00,Win,60%,57,34,23,0,3.78,45%,3.2,57%,0.38,36%,76%,0.2,74%,53,39,14,0,3.71,42%,4.63,47%,0.68,34%,70%,0.4
Alex Caceres,Steven Peterson,Featherweight,U-DEC,3,5:00,Win,60%,35,21,14,0,4.16,50%,2.93,63%,0.56,68%,64%,0.7,63%,30,19,11,0,4.76,40%,5.94,53%,1.42,26%,64%,0.7
Raquel Pennington,Irene Aldana,Women's Bantamweight,S-DEC,3,5:00,Win,64%,25,16,9,0,4.14,52%,3.29,60%,0.9,27%,63%,0.7,68%,22,15,7,0,5.24,40%,6.33,57%,0.16,50%,76%,0.2
Klidson Abreu,Sam Alvey,Light Heavyweight,U-DEC,3,5:00,Win,79%,19,15,4,0,2.05,40%,2.9,55%,0.64,20%,80%,0,65%,51,33,18,0,3.28,44%,3.63,52%,0.06,14%,82%,0.1
Jennifer Maia,Roxanne Modafferi,Women's Flyweight,U-DEC,3,5:00,Win,66%,32,21,10,1,4.35,38%,4.52,55%,0.42,27%,58%,0.1,54%,46,25,21,0,3.35,30%,5.7,51%,1.35,23%,30%,0.1
Ray Borg,Gabriel Silva,Bantamweight,U-DEC,3,5:00,Win,72%,18,13,5,0,1.52,52%,1.93,48%,3.89,50%,46%,1,80%,10,8,2,0,1.3,34%,3.47,45%,1.5,25%,38%,0.5
Mario Bautista,Jin Soo Son,Bantamweight,U-DEC,3,5:00,Win,88%,16,14,2,0,5.69,48%,3.99,53%,2.25,44%,66%,1,69%,13,9,4,0,5.1,36%,7.63,52%,1.5,25%,100%,0
Felipe Colares,Domingo Pilarte,Bantamweight,S-DEC,3,5:00,Win,71%,14,10,4,0,2.17,45%,4.65,36%,1.88,24%,43%,0.5,73%,11,8,3,0,1.31,47%,2.96,40%,1.2,42%,54%,0.8
Germaine de Randamie,Aspen Ladd,Women's Bantamweight,KO/TKO Punch,1,0:16,Win,67%,15,10,5,0,2.57,46%,2,65%,0,0%,65%,0.4,75%,12,9,3,0,3.78,47%,4.65,47%,1.56,47%,62%,0.6
